name,min,base,max
techs.pallet_boiler_small.costs.co2.energy_cap,54.53,77.9,116.85
techs.pallet_boiler_small.constraints.energy_eff,0.623,0.89,1.335
techs.pallet_boiler_small.constraints.lifetime,14,20,30
techs.oil_boiler_small.costs.monetary.energy_cap,340.6666667,486.6666667,730.0000001
techs.oil_boiler_small.costs.monetary.purchase,14326.66667,20466.66667,30700.00001
techs.oil_boiler_small.costs.monetary.om_annual,2.45,3.5,5.25
techs.oil_boiler_small.costs.co2.energy_cap,31.1885,44.555,66.8325
techs.oil_boiler_small.constraints.energy_eff,0.644,0.92,1.38
techs.oil_boiler_small.constraints.lifetime,14,20,30
techs.gas_boiler_middle.costs.monetary.energy_cap,123.6666667,176.6666667,265.0000001
techs.gas_boiler_middle.costs.monetary.purchase,13766.66667,19666.66667,29500.00001
techs.gas_boiler_middle.costs.monetary.om_annual,4.41,6.3,9.45
techs.gas_boiler_middle.costs.co2.energy_cap,12.67,18.1,27.15
techs.gas_boiler_middle.constraints.energy_eff,0.637,0.91,1.365
techs.gas_boiler_middle.constraints.lifetime,14.7,21,31.5
techs.pallet_boiler_middle.costs.monetary.energy_cap,290.5,415,622.5
techs.pallet_boiler_middle.costs.monetary.purchase,24080,34400,51600
techs.pallet_boiler_middle.costs.monetary.om_annual,4.41,6.3,9.45
techs.pallet_boiler_middle.costs.co2.energy_cap,13.58,19.4,29.1
techs.pallet_boiler_middle.constraints.energy_eff,0.623,0.89,1.335
techs.pallet_boiler_middle.constraints.lifetime,14,20,30
techs.oil_boiler_middle.costs.monetary.energy_cap,132.6111111,189.4444444,284.1666666
techs.oil_boiler_middle.costs.monetary.purchase,18487.77778,26411.11111,39616.66667
techs.oil_boiler_middle.costs.monetary.om_annual,2.45,3.5,5.25
techs.oil_boiler_middle.costs.co2.energy_cap,17.549,25.07,37.605
techs.oil_boiler_middle.constraints.energy_eff,0.644,0.92,1.38
techs.oil_boiler_middle.constraints.lifetime,14,20,30
techs.gas_boiler_large.costs.monetary.energy_cap,108.7333333,155.3333333,233
techs.gas_boiler_large.costs.monetary.purchase,16753.33333,23933.33333,35900
techs.gas_boiler_large.costs.monetary.om_annual,4.41,6.3,9.45
techs.gas_boiler_large.costs.co2.energy_cap,12.67,18.1,27.15
techs.gas_boiler_large.constraints.energy_eff,0.637,0.91,1.365
techs.gas_boiler_large.constraints.lifetime,15.4,22,33
techs.pallet_boiler_large.costs.monetary.energy_cap,194.6,278,417
techs.pallet_boiler_large.costs.monetary.purchase,43260,61800,92700
techs.pallet_boiler_large.costs.monetary.om_annual,4.41,6.3,9.45
techs.pallet_boiler_large.costs.co2.energy_cap,13.58,19.4,29.1
techs.pallet_boiler_large.constraints.energy_eff,0.623,0.89,1.335
techs.pallet_boiler_large.constraints.lifetime,14,20,30
techs.oil_boiler_large.costs.monetary.energy_cap,148.1666667,211.6666667,317.5000001
techs.oil_boiler_large.costs.monetary.purchase,15376.66667,21966.66667,32950.00001
techs.oil_boiler_large.costs.monetary.om_annual,2.45,3.5,5.25
techs.oil_boiler_large.costs.co2.energy_cap,13.657,19.51,29.265
techs.oil_boiler_large.constraints.energy_eff,0.644,0.92,1.38
techs.oil_boiler_large.constraints.lifetime,14,20,30
techs.HEX_85_60.constraints.energy_eff,0.7,1,1.5
techs.HEX_85_60.constraints.lifetime,0.7,1,1.5
techs.HEX_60_35.constraints.energy_eff,0.7,1,1.5
techs.HEX_60_35.constraints.lifetime,0.7,1,1.5
techs.gas_micro_CHP.costs.monetary.energy_cap,775.74,1108.2,1662.3
techs.gas_micro_CHP.costs.monetary.purchase,23236.5,33195,49792.5
techs.gas_micro_CHP.costs.monetary.om_annual,0.805,1.15,1.725
techs.gas_micro_CHP.costs.co2.energy_cap,60.774,86.82,130.23
techs.gas_micro_CHP.constraints.energy_eff,0.385,0.55,0.825
techs.gas_micro_CHP.constraints.carrier_ratios.carrier_out_2.electricity,0.448,0.64,0.96
techs.gas_micro_CHP.constraints.lifetime,10.5,15,22.5
techs.gas_micro_CHP.constraints.test,0.7,1,1.5
techs.li_ion_battery.costs.monetary.storage_cap,256.9,367,550.5
techs.li_ion_battery.costs.monetary.om_annual_investment_fraction,0.0175,0.025,0.0375
techs.li_ion_battery.costs.co2.storage_cap,169.05,241.5,362.25
techs.li_ion_battery.constraints.energy_eff,0.637,0.91,1.365
techs.li_ion_battery.constraints.storage_cap_max,700,1000,1500
techs.li_ion_battery.constraints.energy_cap_per_storage_cap_max,0.175,0.25,0.375
techs.li_ion_battery.constraints.storage_loss,0.0007,0.001,0.0015
techs.li_ion_battery.constraints.lifetime,9.1,13,19.5
techs.tank_35.costs.monetary.storage_cap,9.1,13,19.5
techs.tank_35.costs.monetary.om_annual_investment_fraction,0.0105,0.015,0.0225
techs.tank_35.costs.co2.storage_cap,4.9,7,10.5
techs.tank_35.constraints.energy_eff,0.672,0.96,1.44
techs.tank_35.constraints.storage_cap_max,700,1000,1500
techs.tank_35.constraints.storage_loss,0.007,0.01,0.015
techs.tank_35.constraints.lifetime,16.1,23,34.5
techs.tank_60.costs.monetary.storage_cap,9.1,13,19.5
techs.tank_60.costs.monetary.om_annual_investment_fraction,0.0105,0.015,0.0225
techs.tank_60.costs.co2.storage_cap,4.9,7,10.5
techs.tank_60.constraints.energy_eff,0.665,0.95,1.425
techs.tank_60.constraints.storage_cap_max,700,1000,1500
techs.tank_60.constraints.storage_loss,0.0105,0.015,0.0225
techs.tank_60.constraints.lifetime,16.1,23,34.5
techs.tank_85.costs.monetary.storage_cap,9.1,13,19.5
techs.tank_85.costs.monetary.om_annual_investment_fraction,0.0105,0.015,0.0225
techs.tank_85.costs.co2.storage_cap,4.9,7,10.5
techs.tank_85.constraints.energy_eff,0.658,0.94,1.41
techs.tank_85.constraints.storage_cap_max,700,1000,1500
techs.tank_85.constraints.storage_loss,0.014,0.02,0.03
techs.tank_85.constraints.lifetime,16.1,23,34.5
